,,,,,,
číslo karty,"Emócia, ktorú zažívam","Situácia, ktorá sa mi deje?",,,Zmysel emócie,
1,Sklamanie,Moje očakávania neboli naplnené.,Niekto alebo niečo ma zradilo.,"Moja snaha nevyšla tak, ako som predpokladal/a.","Informuje ma, že moje predstavy o tom, ako život pôjde a ako ide, nie sú v súlade.",
2,Odpor,"Niečo mi prekáža, stojí v ceste.",Niekto alebo niečo ma obmedzuje alebo mi ubližuje.,"Nemám chuť pokračovať, mám výhrady.","Rozpoznať, kedy mi je niečo odporné",
3,Apatia,"Nič ma nezaujíma, nič ma nebaví.",Môj život je dlhodobo stereotypný a nevidím žiadne východisko.,"Je mi jedno, ako to bude.",Nemíňať emocionálnu energiu,
4,Frustrácia,Moje snahy dosiahnuť cieľ boli zmarené.,Nechápu ma. Moje názory nie sú akceptované.,"Mám potrebu vybojovať si to, čo už malo byť.","Vedieť, kedy som dosiahol/ dosiahla svoj limit a potrebujem zmenu",
5,Depresia,Dlhodobo zažívam nepriaznivú situáciu ,"Som sám/ sama. Nemám blízkych ľudí, priateľov alebo rodinu.",Nemám dosť  schopností a síl. Zlyhal/a som v živote a nevidím východisko.,"Zastaviť sa a pouvažovať, kde by som mohol/ mohla nájsť nádej a energiu.",
6,Ľahostajnosť,Je mi to jedno a netýka sa ma to.,"Stratil/a som záujem o niečo, čo sa mi predtým páčilo alebo čo som mal rád/mala rada.","Niečo nie je moja vec, aj tak to neviem zmeniť.","Podriadiť sa vedeniu iných ľudí alebo nechať prebiehať situácie, ktoré nie sú pre mňa obzvlášť dôležité",
7,Mrzutosť,"Narazil/a som na problém, s ktorým neviem pohnúť.","Systém ma šikanuje, diskriminuje.","Nenaplnil/a som svoje ambície alebo sny, lebo som sa v minulosti zle rozhodol/la.","Vidieť, čo mi bráni byť v stave plynutia (flow)",
8,Hrôza,"Som paralyzovaný/á. Nezvládam to, čo som stratil/a alebo môžem stratiť.","Mám vážne problémy, ktoré sa nedajú zvrátiť. ",Mne alebo mojim blízkym sa stala obrovská tragédia ,"Uvádza ma do stavu pohotovosti voči tomu, čo ma môže zničiť alebo vážne poškodiť",
9,Vyčerpanie,Som pracovne preťažený/á. Moje pracovné dni sú dlhé.,Musím uprednostniť starostlivosť o niekoho druhého a nemám dosť času na oddych.,Som unavený/á. Už nevládzem.,"Vedieť, kedy som dosiahol/la limit svojej energie.",
10,Clivota,"Som osamelý/á, chýba mi niekto blízky.","Chýba mi niečo z minulosti, čo už nie je.","Túžim po niečom, čo nemám.","Ukazuje, čo z minulosti som považoval/a za dobré",
11,Strach,"Niečo alebo niekto ma ohrozuje, som v nebezpečenstve.","Čelím novej situácii, ktorá je pre mňa neznáma.","Bojím sa o budúcnosť. Neviem, čo bude.","Vedieť konkrétne, o čom som presvedčený/á, že mi ublíži",
12,Neistota,"Čelím neznámej situácii a neviem, čo môžem očakávať","Mám pocit, že niečo neovládam alebo nemám dosť skúseností.","Nie je mi jasné, čo vlastne chcem.",Počkať na ujasnenie,
13,Zmätenosť,Mám nejasné alebo protichodné informácie.,Nedokážem sa v niečom alebo niekde zorientovať. Nerozumiem tomu.,Nevyznám sa v sebe alebo okolí.,"Pomáha mi rozpoznať informácie, vďaka ktorým lepšie porozumiem.",
14,Stres,"Mám príliš veľa záväzkov, som v neustálom zhone.",Ja alebo niekto iný na mňa kladie príliš vysoké nároky.,Dostal/a som sa do neočakávanej situácie.,"Stres nie je emócia, ale telesný vnem napätosti. Emócie pri tom sú úzkosť, strach a vyčerpanie.",
15,Bezmocnosť,"Som odkázaný/á na pomoc iných ľudí, nie som schopný/á si pomôcť sám/sama. ","Stratil/a som kontrolu alebo moc a neviem, ako ju získať späť.","Som v konfrontácii s autoritou alebo ľuďmi, ktorí majú väčšiu moc ako ja.","Umožňuje mi prijímať pomoc, keď nie som schopný/á nič urobiť.",
16,Pochybnosť,"Neverím si, že na niečo mám, že niečo dokážem. ",Chýbajú mi informácie alebo sú nejasné.,"Nepoznám úplnú pravdu, mám len čiastkové informácie. Váham","Upozorňuje ma, že som na novom území, privoláva moju pozornosť k príprave",
17,Úzkosť,"Zažívam ťaživú situáciu, nad ktorou nemám kontrolu.","Bojím sa niečoho v budúcnosti, ale neviem, čo to je. Mám obavy.",Nedokážem naplniť očakávania. Je toho na mňa veľa a bojím sa zlyhania.,Upozorňuje ma na možné nebezpečenstvo v budúcnosti,
18,Beznádej,Vzdávam sa.,"Stratil/a som niečo, čo mi bolo drahé.","Dlhodobo som v nepriaznivej situácii a neviem to ovplyvniť. Neviem, čo mám robiť.","Rozpoznať, že nič, čo budem robiť, nespôsobí zmenu, a vzdať sa - ??? Nem értem",
19,Bojazlivosť,Čelím neznémej situácii.,Bojím sa zlyhania alebo odmietnutia.,Moja činnosť môže negatívne ovplyvniť mňa alebo niekoho druhého. Radšej sa nebudem prejavovať alebo zapájať.,Umožňuje mi pozorovať z odstupu mieru nebezpečenstva,
20,Smútok,"Prišiel/prišla som o niečo, na čom mi záležalo. Nechce sa mi nič robiť.","Nie som v rovnováhe, nemám energiu.",Potrebujem sa utiahnuť a dopriať si chvíľku pre seba a svoj smútok,"Vedieť, na čom mi v živote záleží",
21,Rezignácia,Moje ciele nie sú v súlade s realitou.,Mám dlhodobý problém a nevidím východisko.,"Snažil/a som sa niečo dosiahnuť, ale výsledok sa nedostavil. Nemá zmysel snažiť sa ďalej.",Stiahnuť sa z interakcie,
22,Nerozhodnosť ,Neviem sa rozhodnúť alebo mám príliš veľa možností na výber.,"Prehodnocujem, čo je skutočne dôležité a v súlade s mojimi hodnotami.",Bojím sa dôsledkov zlej voľby.,"Zvažovať možnosti, skúmať rôzne príležitosť",
23,Ľútosť,Urobil/a som zlé rozhodnutie alebo som konal/a nesprávne a už nie je možné vrátiť to.,Sebe alebo niekomu druhému som ublížil/a.,Premárnil/a som dôležitú príležitosť.,"Reflektovať rozhodnutia, ktoré som spravil/a, a použiť ich ako poučenie do budúcna.",
24,Vina,"Neurobil/a som niečo, za čo som bol/a zodpovedný/á.","Robím veci, ktoré si neźelám a sú proti mojim presvedčeniam.",Moje konanie niekomu ublížilo.,Poznať svoje hodnoty a kedy som ich zradil/a. ,
25,Arogancia,"Myslím si, že ostatní ľudia sú menej inteligentní, schopní, či dôležití ako ja.",Som lepší/lepšia ako ostatní. Mám viac schopností. ,Na niekoho sa dívam zhora alebo niekoho podceňujem.,"Správať sa, ako keby som bol/a morálne nadradený voči ostatným",
26,Žiaľ,"Navždy som stratil niekoho alebo niečo, čo mi bolo veľmi blízke.",Rozpadol sa mi vzťah s blízkym človekom.,"Súcitím s niekým v ťažkej situácii, ktorá sa ma dotýka.","Nájsť význam alebo uvedomiť si hodnotu toho, čo mi spôsobilo žiaľ a zotaviť sa z vážnej situácie",
27,Hnev,"Stala sa nespravodlivosť, niekoho treba potrestať.",Niekto nesplnil moje zadania alebo nedodržal dohodu.,"Niečo sa mi nepodarilo aj napriek tomu, že som to mohol/mohla zvládnuť.",Vytvoriť a udržať spravodlivosť na svete,
28,Lenivosť,Nemám chuť alebo energiu niečo robiť.,"Nejaká činnosť pre mňa nie je zaujímavá, neprináša mi radosť.",Som rád/rada vo svojej komfortnej zóne a nemám motiváciu z nej vyjsť.,Odpočívať a hľadať motiváciu.,
29,Únava,"Mám toho príliš veľa na svojich pleciach, som preťažený/á.",Všetko musím robiť sám/sama. Nemá mi s tým kto pomôcť.,Som vyčerpaný/á. Už ďalej nevládzem.,Umožňuje mi vidieť hranice svojej energie,
